3673,0.201921046,0.093261048,0.518391669,0,0,0.178896323,0,0,0,0,0,0,2,disease; health; outbreak; model; public; datum; transmission; infectious; epidemic; country,Topic: 2,identifying live bird markets with the potential to act as reservoirs of avian influenza a (h5n1) virus: a survey in northern viet nam and cambodia,e81fa612268526f1a649e7d5e70c90dc9c1c4cca.json,22.555244,7.508005,245,PLoS One,6/4/2012,"Fournié, Guillaume; Guitian, Javier; Desvaux, Stéphanie; Mangtani, Punam; Ly, Sowath; Cong, Vu Chi; San, Sorn; Dung, Do Huu; Holl, Davun; Pfeiffer, Dirk U.; Vong, Sirenda; Ghani, Azra C.","190,832,733,598",3
3674,0.3136262,0,0.153515354,0,0.024686433,0,0,0,0.301571697,0.0358596,0,0.158371761,0,influenza; risk; text; 95; factor; patient; high; ci; increase; group,Topic: 0,feasibility of a randomized controlled trial to assess treatment of middle east respiratory syndrome coronavirus (mers-cov) infection in saudi arabia: a survey of physicians,a280d2019f9957487f81e4c5cf2d94a2a2f391a6.json,15.087739,7.648194,,BMC Anesthesiol,7/12/2016,"Arabi, Yaseen M.; Al-Enezi, Farhan; Longuere, Kajsa-Stina; Balkhy, Hanan H.; Al-Sultan, Mohamed; Al-Omari, Awad; Al-Hameed, Fahad M.; Carson, Gail; Shindo, Nahoko; Fowler, Robert",519,1
3678,0,0.370873481,0,0.112375155,0,0.239540711,0,0,0,0,0.069661967,0.198574588,1,sequence; gene; strain; genome; specie; genetic; genotype; host; region; identify,Topic: 1,identification of a novel nidovirus in an outbreak of fatal respiratory disease in ball pythons (python regius),9138f2909ac88cdf8463d08e4559197edc2c60ee.json,6.2659926,-0.6590596,,Virol J,8/8/2014,"Uccellini, Lorenzo; Ossiboff, Robert J; de Matos, Ricardo EC; Morrisey, James K; Petrosov, Alexandra; Navarrete-Macias, Isamara; Jain, Komal; Hicks, Allison L; Buckles, Elizabeth L; Tokarz, Rafal; McAloose, Denise; Lipkin, Walter Ian","6,626,743,670",3
3679,0.036718365,0.034749713,0.05052235,0,0,0.131479189,0,0,0,0.065725304,0,0.677265525,11,respiratory; patient; infection; child; viral; clinical; rsv; pneumonia; influenza; acute,Topic: 11,infection with and carriage of mycoplasma pneumoniae in children,90d553a545579b2e27d0899c558e004ff33cd0f4.json,-3.4142044,24.127129,3280,Front Microbiol,3/23/2016,"Meyer Sauteur, Patrick M.; Unger, Wendy W. J.; Nadal, David; Berger, Christoph; Vink, Cornelis; van Rossum, Annemarie M. C.","15,183,869",2
3680,0,0,0,0.074682131,0,0,0.052992884,0.584430039,0,0.1384615,0.141447291,0,7,protein; bind; cell; domain; receptor; activity; membrane; peptide; structure; fusion,Topic: 7,topology and biological function of enterovirus non-structural protein 2b as a member of the viroporin family,2fadcd6b5c3ddc519094af150095be7578d8499b.json,-11.169961,-21.384632,,Vet Res,8/28/2014,"Ao, Da; Sun, Shi-Qi; Guo, Hui-Chen","90,152,840,754,470",4
3683,0,0.138650656,0.015241266,0,0,0.513590336,0,0,0,0.328229994,0,0,5,sample; pcr; assay; detection; detect; rt; test; time; positive; ibv,Topic: 5,optimization and validation of sample preparation for metagenomic sequencing of viruses in clinical samples,23393085181dbde8039e7123f35b67d4b2e9f6ba.json,5.07202,6.575907,"217,928,245,703,628,000,000,000,000,000",Microbiome,8/8/2017,"Lewandowska, Dagmara W.; Zagordi, Osvaldo; Geissberger, Fabienne-Desirée; Kufner, Verena; Schmutz, Stefan; Böni, Jürg; Metzner, Karin J.; Trkola, Alexandra; Huber, Michael","18,133,350",2
3685,0.417121649,0.09641698,0.271227419,0,0,0,0,0,0.210715905,0,0,0,0,influenza; risk; text; 95; factor; patient; high; ci; increase; group,Topic: 0,cross sectional survey of human-bat interaction in australia: public health implications,66d172659a7156097bd453af7028c06632c231a5.json,16.155544,8.11322,"37,421,895",BMC Public Health,1/21/2014,"Paterson, Beverley J; Butler, Michelle T; Eastwood, Keith; Cashman, Patrick M; Jones, Alison; Durrheim, David N",2611,1
3686,0,0,0,0.06608516,0.577765286,0,0,0,0.235284984,0.010258878,0,0.106283382,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,single injection recombinant vesicular stomatitis virus vaccines protect ferrets against lethal nipah virus disease,5977507d38a03786e12e8e48cda0b431871af042.json,-6.7644825,-4.320831,82,Virol J,12/13/2013,"Mire, Chad E; Versteeg, Krista M; Cross, Robert W; Agans, Krystle N; Fenton, Karla A; Whitt, Michael A; Geisbert, Thomas W","9,400,643,119,519,510,000",6
3690,0,0,0,0.346978247,0,0.192595378,0.029230598,0,0.358179986,0.069042653,0,0,8,cov; sars; mers; bat; coronavirus; human; mers_cov; respiratory; syndrome; respiratory_syndrome,Topic: 8,expression profiles of immune mediators in feline coronavirus-infected cells and clinical samples of feline coronavirus-positive cats,ebd781f1bacf68fbaa6efa2aff4390c20a405999.json,-9.410699,-7.342708,"31,211,433",BMC Vet Res,4/7/2017,"Safi, Nikoo; Haghani, Amin; Ng, Shing Wei; Selvarajah, Gayathri Thevi; Mustaffa-Kamal, Farina; Omar, Abdul Rahman","15,793,624",2
3693,0.02635858,0,0,0.967981815,0,0,0,0,0,0,0,0,3,cell; infection; mouse; expression; induce; disease; level; increase; effect; lung,Topic: 3,inflammatory monocytes damage the hippocampus during acute picornavirus infection of the brain,6694490cc1353addf66465e4d06419ff0b0af753.json,-26.367517,15.381351,,J Neuroinflammation,3/9/2012,"Howe, Charles L; LaFrance-Corey, Reghann G; Sundsbak, Rhianna S; LaFrance, Stephanie J","464,174,424,473,240",4
